length,url_count,exclamation_count,dollar_count,uppercase_ratio,label
732,0,7,1,0.0504774897680764,0
576,0,3,0,0.08665511265164645,0
1070,0,0,0,0.05228758169934641,0
1074,0,2,0,0.053023255813953486,0
359,0,5,0,0.09166666666666666,0
2427,0,0,7,0.03706754530477759,0
634,0,0,0,0.05669291338582677,0
1878,0,0,0,0.047897817988291645,0
1073,0,8,3,0.05865921787709497,0
1030,0,5,0,0.058195926285160036,0
923,0,5,0,0.07575757575757576,0
753,0,11,0,0.07957559681697612,0
1088,0,11,0,0.06795224977043159,0
243,0,0,0,0.06557377049180328,0
442,0,0,0,0.060948081264108354,0
1440,0,0,0,0.03678001387925052,0
316,0,1,0,0.08832807570977919,0
246,0,1,0,0.08097165991902834,0
202,0,1,2,0.11822660098522167,0
245,0,1,3,0.08943089430894309,0
147,0,0,0,0.10135135135135136,0
243,0,0,0,0.06147540983606557,0
222,0,0,0,0.07174887892376682,0
176,0,0,0,0.07344632768361582,0
185,0,0,0,0.07526881720430108,0
168,0,0,0,0.0650887573964497,0
193,0,0,0,0.05670103092783505,0
701,0,0,0,0.0754985754985755,0
1024,0,0,0,0.04878048780487805,0
589,0,0,0,0.061016949152542375,0
4477,0,2,3,0.03148727110317106,0
2008,0,2,0,0.041811846689895474,0
448,0,0,0,0.08908685968819599,0
4429,0,3,0,0.026636568848758466,0
2152,0,3,0,0.03483511379470506,0
4135,0,2,1,0.03868471953578337,0
1693,0,3,0,0.03128689492325856,0
1850,0,2,0,0.041058887088060506,0
1730,0,2,0,0.03755054881571346,0
1042,0,3,0,0.09971236816874401,0
649,0,0,0,0.08307692307692308,0
2317,0,0,0,0.013805004314063849,0
2444,0,4,0,0.05562372188139059,0
17633,0,6,8,0.08619711920154248,0
631,0,5,0,0.058544303797468354,0
510,0,0,0,0.0958904109589041,0
900,0,0,0,0.06326304106548279,0
335,0,2,0,0.08333333333333333,0
770,0,2,0,0.054474708171206226,0
1484,0,2,0,0.037037037037037035,0
703,0,2,0,0.0625,0
1755,0,2,0,0.0387243735763098,0
918,0,2,0,0.062023939064200215,0
626,0,3,0,0.08931419457735247,0
3535,0,2,0,0.02092760180995475,0
2062,0,2,0,0.041202132816286964,0
3320,0,2,0,0.0349292381812707,0
4491,0,2,0,0.02804986642920748,0
2927,0,2,0,0.030737704918032786,0
6904,0,2,0,0.02664735698769008,0
3623,0,2,0,0.03200883002207505,0
2245,0,2,0,0.04140694568121104,0
685,0,2,0,0.0597667638483965,0
2521,0,2,0,0.033703409992069784,0
2462,0,2,0,0.03978887535525782,0
1490,0,2,0,0.034875922199865864,0
972,0,4,2,0.05447070914696814,0
4217,0,0,0,0.02678994784257942,0
765,0,0,0,0.01174934725848564,0
1353,0,0,0,0.03766617429837518,0
138,0,1,0,0.04316546762589928,0
729,0,2,0,0.06986301369863014,0
980,0,3,0,0.053007135575942915,0
486,0,2,0,0.13552361396303902,0
548,0,2,0,0.13114754098360656,0
683,0,0,0,0.05555555555555555,0
461,0,5,0,0.08441558441558442,0
1229,0,0,0,0.05934959349593496,0
456,0,0,0,0.09409190371991247,0
668,0,0,2,0.06726457399103139,0
354,0,0,1,0.07887323943661972,0
1413,0,0,1,0.04950495049504951,0
787,0,0,0,0.12055837563451777,0
706,0,0,0,0.09900990099009901,0
715,0,0,0,0.09636871508379888,0
813,0,0,1,0.06388206388206388,0
765,0,0,0,0.0783289817232376,0
1077,0,0,0,0.07050092764378478,0
497,0,0,0,0.09236947791164658,0
1554,0,0,0,0.0752411575562701,0
2247,0,0,0,0.05693950177935943,0
1113,0,0,0,0.06642728904847396,0
644,0,0,0,0.05581395348837209,0
1369,0,2,0,0.058394160583941604,0
1047,0,0,1,0.05534351145038168,0
622,0,3,1,0.05778491171749599,0
603,0,0,0,0.076158940397351,0
646,0,0,1,0.07264296754250386,0
756,0,0,0,0.07926023778071334,0
351,0,0,0,0.11079545454545454,0
2981,0,8,0,0.038900067069081154,0
1447,0,2,10,0.0531767955801105,0
7481,0,2,3,0.023523122159850307,0
629,0,2,0,0.05714285714285714,0
579,0,2,0,0.08793103448275862,0
1149,0,2,0,0.050434782608695654,0
2390,0,2,0,0.028858218318695106,0
1425,0,2,0,0.04978962131837307,0
816,0,0,0,0.033047735618115054,0
2671,0,2,0,0.037050898203592815,0
2731,0,3,1,0.04026354319180088,0
1702,0,4,1,0.03464474456840869,0
2252,0,5,1,0.04172214824678207,0
337,0,0,0,0.15384615384615385,0
338,0,0,0,0.08849557522123894,0
975,0,2,0,0.05737704918032787,0
1051,0,6,0,0.057034220532319393,0
2729,0,4,1,0.04322344322344322,0
1082,0,4,1,0.05355493998153278,0
1004,0,4,1,0.051741293532338306,0
495,0,4,0,0.09274193548387097,0
1722,0,2,0,0.0412071967498549,0
664,0,4,1,0.05413533834586466,0
862,0,4,0,0.04866743916570104,0
3020,0,3,0,0.039059913935782856,0
226,0,2,0,0.15859030837004406,0
493,0,0,0,0.11133603238866396,0
2652,0,2,0,0.03354692800603091,0
4477,0,3,0,0.06833407771326486,0
575,0,0,0,0.08159722222222222,0
2185,0,0,0,0.032479414455626715,0
3438,0,1,0,0.028205873800523407,0
1839,0,4,0,0.03804347826086957,0
695,0,0,0,0.05603448275862069,0
537,0,0,0,0.02973977695167286,0
861,0,0,0,0.15893271461716937,0
312,0,0,0,0.03514376996805112,0
555,0,0,0,0.048561151079136694,0
5527,0,0,0,0.028581765557163533,0
307,0,0,0,0.06493506493506493,0
467,0,0,1,0.023504273504273504,0
774,0,0,0,0.05935483870967742,0
34859,0,4,1,0.02759609868043603,0
902,0,0,0,0.029900332225913623,0
543,0,0,0,0.06433823529411764,0
1339,0,2,0,0.07164179104477612,0
1360,0,1,0,0.19250551065393093,0
819,0,0,0,0.07560975609756097,0
10868,0,3,1,0.026221363510902568,0
1338,0,0,0,0.041075429424943986,0
737,0,0,0,0.06097560975609756,0
1511,0,0,0,0.04034391534391534,0
442,0,1,0,0.0654627539503386,0
379,0,0,0,0.13157894736842105,0
933,0,0,1,0.06745182012847965,0
1005,0,0,0,0.039761431411530816,0
613,0,0,0,0.04723127035830619,0
2764,0,3,0,0.05714285714285714,0
680,0,0,0,0.05433186490455213,0
1903,0,0,0,0.0782563025210084,0
1587,0,0,1,0.06297229219143577,0
1044,0,0,0,0.08803827751196172,0
665,0,0,0,0.04804804804804805,0
831,0,0,0,0.04807692307692308,0
634,0,0,0,0.03779527559055118,0
934,0,1,0,0.051336898395721926,0
733,0,0,0,0.04495912806539509,0
423,0,1,0,0.05188679245283019,0
1382,0,0,0,0.04049168474331164,0
1763,0,0,0,0.03571428571428571,0
2189,0,3,1,0.0365296803652968,0
644,0,2,0,0.07751937984496124,0
1568,0,2,0,0.03824091778202677,0
427,0,0,0,0.07710280373831775,0
382,0,3,0,0.04177545691906005,0
929,0,0,0,0.02795698924731183,0
1099,0,0,0,0.025454545454545455,0
1564,0,0,0,0.08881789137380192,0
